iter	Logloss	AUC
0	0.688278311	0.6846626797
1	0.684130668	0.6939943336
2	0.6804267406	0.6938000017
3	0.6761391608	0.7018586364
4	0.673394551	0.701973223
5	0.6695134453	0.7022318029
6	0.6666352241	0.7017983593
7	0.6643712339	0.7057608861
8	0.6622097356	0.7069330426
9	0.6600989077	0.7097080842
10	0.6576614807	0.7096926761
11	0.6558674097	0.7093396456
12	0.653914974	0.7108787763
13	0.6519915657	0.7110119874
14	0.6503180374	0.7126870784
15	0.6488447327	0.7124165662
16	0.6472000239	0.7140777745
17	0.6456544151	0.7148209331
18	0.6443757824	0.7144603446
19	0.642982835	0.7148102287
20	0.6417911469	0.7149859116
21	0.6405691025	0.7156793383
22	0.6394190946	0.7165061853
23	0.6383485609	0.7173687504
24	0.6367866428	0.7176378414
25	0.6357669144	0.7175770145
26	0.6349226441	0.7174563265
27	0.634017062	0.717455616
28	0.6330584691	0.7180174059
29	0.6317735792	0.7184706798
30	0.630953544	0.7189314205
31	0.6300982746	0.7195847548
32	0.629380046	0.7196566307
33	0.6285971966	0.7199485269
34	0.6277752057	0.7201770839
35	0.6271381398	0.7205371076
36	0.6258667015	0.7208293499
37	0.6251207776	0.7210605251
38	0.6244470452	0.7213652339
39	0.6239670007	0.7215379419
40	0.6233222867	0.7219101585
41	0.6227693785	0.7224988554
42	0.622177901	0.7226267285
43	0.6213344142	0.7229164544
44	0.6207115105	0.7229910535
45	0.6202138473	0.7236945917
46	0.6196406178	0.7243397558
47	0.6191746361	0.7249198546
48	0.6179948261	0.7252261437
49	0.6175366263	0.7256453108
50	0.6170877187	0.7258022866
51	0.6167151013	0.7257456722
52	0.6163103231	0.7259468357
53	0.6160295494	0.7260709499
54	0.6155056916	0.7260891906
55	0.6151178918	0.7266270811
56	0.614701306	0.7267311031
57	0.6143556608	0.7268663923
58	0.6138907889	0.7268756897
59	0.6135270932	0.7271356469
60	0.6129407792	0.7273945794
61	0.6126431248	0.7276421062
62	0.6122867188	0.7280479996
