iter	Passed	Remaining
0	730	510276
1	1320	460792
2	1864	433265
3	2293	399119
4	2698	375142
5	3114	360298
6	3532	349702
7	3947	341446
8	4385	336732
9	4804	331499
10	5230	327630
11	5658	324396
12	6089	321820
13	6529	319948
14	6957	317742
15	7400	316352
16	7841	315049
17	8280	313722
18	8720	312571
19	9152	311190
20	9605	310587
21	10043	309529
22	10518	309617
23	11044	311088
24	11559	312094
25	12021	311624
26	12479	311050
27	12921	310112
28	13367	309302
29	13819	308635
30	14263	307826
31	14706	306999
32	15158	306386
33	15611	305800
34	16065	305239
35	16519	304686
36	16972	304137
37	17433	303709
38	17885	303135
39	18342	302653
40	18794	302080
41	19265	301831
42	19720	301310
43	20183	300922
44	20651	300589
45	21123	300324
46	21596	300049
47	22080	299924
48	22584	300045
49	23065	299848
50	23558	299795
51	24139	300817
52	24598	300283
53	25047	299644
54	25501	299067
55	25952	298454
56	26411	297942
57	26871	297438
58	27333	296964
59	27784	296366
60	28238	295804
61	28697	295306
62	29150	294743
63	29602	294170
64	30059	293655
65	30687	294789
66	31249	295237
67	31690	294538
68	32169	294192
69	32628	293658
70	33090	293157
71	33574	292842
72	34031	292295
73	34480	291689
74	34957	291315
75	35410	290741
76	35832	289920
77	36292	289409
78	36731	288735
79	37187	288201
80	37623	287517
81	38050	286770
82	38537	286480
83	38996	285971
84	39441	285369
85	39899	284863
86	40352	284322
87	40814	283845
88	41270	283332
89	41723	282793
90	42182	282295
91	42647	281846
92	43107	281357
93	43569	280881
94	44027	280385
95	44489	279912
96	45013	279826
97	45531	279692
98	45993	279210
99	46441	278647
100	46892	278104
101	47334	277511
102	47795	277027
103	48239	276450
104	48692	275922
105	49141	275380
106	49590	274834
107	50030	274240
108	50496	273794
109	50950	273280
110	51401	272750
111	51855	272239
112	52322	271797
113	52741	271107
114	53228	270772
115	53677	270236
116	54144	269797
117	54584	269220
118	55043	268743
119	55528	268387
120	55974	267842
121	56478	267580
122	57066	267702
123	57547	267315
124	58000	266800
125	58456	266300
126	58908	265781
127	59363	265280
128	59802	264707
129	60253	264187
130	60709	263690
131	61157	263163
132	61607	262643
133	62060	262135
134	62521	261664
135	62987	261214
136	63441	260713
137	63898	260226
138	64346	259701
139	64797	259191
140	65246	258671
141	65695	258154
142	66147	257653
143	66602	257160
144	67040	256602
145	67478	256046
146	67928	255540
147	68378	255032
148	68826	254518
149	69282	254034
150	69743	253572
151	70207	253115
152	70638	252544
153	71088	252041
154	71544	251559
155	71992	251049
156	72417	250461
157	72888	250035
158	73337	249530
159	73792	249050
160	74244	248557
161	74685	248030
162	75141	247552
163	75578	247014
164	76028	246517
165	76474	246009
166	76928	245526
167	77377	245030
168	77841	244577
169	78292	244087
170	78737	243581
171	79201	243130
172	79640	242603
173	80104	242156
174	80544	241634
175	80994	241142
176	81448	240663
177	81935	240282
178	82429	239920
179	82927	239568
180	83442	239263
181	83949	238932
182	84446	238573
183	84951	238232
184	85488	237982
185	85992	237635
186	86520	237351
187	87049	237070
188	87532	236662
189	88027	236285
190	88554	235991
191	89077	235683
192	89573	235303
193	90099	235002
194	90622	234688
195	91127	234327
196	91675	234075
197	92202	233764
198	92715	233418
199	93232	233080
200	93748	232739
201	94270	232409
202	94770	232024
203	95271	231641
204	95796	231313
205	96296	230924
206	96815	230579
207	97368	230313
208	97869	229923
209	98375	229541
210	98863	229119
211	99352	228697
212	99883	228371
213	100409	228032
214	100908	227631
215	101398	227206
216	101906	226825
217	102448	226514
218	102945	226103
219	103454	225718
220	103999	225410
221	104517	225042
222	105032	224666
223	105552	224298
224	106081	223948
225	106613	223605
226	107168	223307
227	107665	222885
228	108191	222524
229	108689	222105
230	109180	221669
231	109708	221308
232	110248	220971
233	110765	220584
234	111259	220151
235	111765	219742
236	112301	219389
237	112833	219030
238	113371	218679
239	113891	218292
240	114413	217907
241	114913	217481
242	115437	217098
